heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
monotona,40,20,7,0.012742,1098,99,0.10
monotona,40,20,8,0.018040,1135,99,0.10
monotona,40,20,9,0.013457,1297,99,0.10
monotona,40,20,10,0.019727,1458,99,0.10
monotona,40,20,1,0.010177,1183,99,0.20
monotona,40,20,2,0.015144,1896,99,0.20
monotona,40,20,3,0.015381,1815,99,0.20
monotona,40,20,4,0.014487,1509,99,0.20
monotona,40,20,5,0.016887,1888,99,0.20
monotona,40,20,6,0.011948,1147,101,0.20
monotona,40,20,7,0.016650,2058,99,0.20
monotona,40,20,8,0.014645,1777,99,0.20
monotona,40,20,9,0.012332,1487,99,0.20
monotona,40,20,10,0.009758,1148,99,0.20
monotona,40,20,1,0.013739,2338,99,0.30
monotona,40,20,2,0.012390,2000,99,0.30
monotona,40,20,3,0.006471,1075,100,0.30
monotona,40,20,4,0.014310,2038,99,0.30
monotona,40,20,5,0.009369,1521,101,0.30
monotona,40,20,6,0.014420,2266,99,0.30
monotona,40,20,7,0.008209,1421,99,0.30
monotona,40,20,8,0.009119,1595,101,0.30
monotona,40,20,9,0.010311,1792,99,0.30
monotona,40,20,10,0.007602,1243,99,0.30
monotona,40,20,1,0.004838,1140,105,0.40
monotona,40,20,2,0.008059,1750,104,0.40
monotona,40,20,3,0.007138,1497,101,0.40
monotona,40,20,4,0.005918,1433,108,0.40
monotona,40,20,5,0.004895,1121,105,0.40
monotona,40,20,6,0.005288,1307,99,0.40
monotona,40,20,7,0.007111,1607,99,0.40
monotona,40,20,8,0.004992,1112,99,0.40
monotona,40,20,9,0.003858,1062,101,0.40
monotona,40,20,10,0.008112,1740,99,0.40
monotona,40,20,1,0.005033,1794,109,0.50
monotona,40,20,2,0.004444,1470,108,0.50
monotona,40,20,3,0.003527,1258,110,0.50
monotona,40,20,4,0.006329,2027,100,0.50
monotona,40,20,5,0.006713,2333,100,0.50
monotona,40,20,6,0.003569,1095,108,0.50
monotona,40,20,7,0.005359,1243,104,0.50
monotona,40,20,8,0.005639,1679,102,0.50
monotona,40,20,9,0.004234,1511,110,0.50
monotona,40,20,10,0.007418,2219,103,0.50
monotona,40,20,1,0.004099,1878,115,0.60
monotona,40,20,2,0.003187,1377,109,0.60
monotona,40,20,3,0.002974,1154,113,0.60
monotona,40,20,4,0.003796,1621,108,0.60
monotona,40,20,5,0.002295,1081,116,0.60
monotona,40,20,6,0.003213,1433,117,0.60
monotona,40,20,7,0.004870,2126,105,0.60
monotona,40,20,8,0.004382,1990,109,0.60
monotona,40,20,9,0.004657,2072,108,0.60
monotona,40,20,10,0.002574,1152,117,0.60
monotona,40,20,1,0.002861,1687,119,0.70
monotona,40,20,2,0.002266,1413,118,0.70
monotona,40,20,3,0.002303,1233,112,0.70
monotona,40,20,4,0.004029,2528,115,0.70
monotona,40,20,5,0.002166,1448,119,0.70
monotona,40,20,6,0.002247,1478,115,0.70
monotona,40,20,7,0.002022,1397,119,0.70
monotona,40,20,8,0.001962,1507,119,0.70
